"Platform Client ID","Account Name","Created Date","Account Owner","CS Insight: CS Insights Name","CS Insight: Record Type","Feedback directed to"
"CL003479","CLAXTON LAW GROUP","8/17/2022","Alejandra Arroyo","CSI-0000098","Client Feedback","Compliance"
"CL003321","Alus Comercializadora","4/5/2023","Automated Essentials","CSI-0000103","Client Feedback","Customer Success"
"cl004570","Rootstack","11/2/2021","Jose Pinto","CSI-0000105","Client Feedback","Tech"
"CL003733","Tecnología en Cuentas por Cobrar","10/7/2022","Karoll Cabrera","CSI-0000113","Client Feedback","Customer Success"
"CL000900","DD3 Capital Partners","1/24/2022","Alejandra Arroyo","CSI-0000118","Client Feedback","Customer Success"
"CL004544","Baufest","12/29/2021","Alejandra Arroyo","CSI-0000120","Client Feedback","Product"
"CL004051","IT Impact, Inc.","12/1/2022","Automated Essentials","CSI-0000125","Client Feedback","Product"
"CL004604","gsdoutsource.com","9/13/2023","Automated Essentials","CSI-0000128","Client Feedback","Product"
"CL004147","Retargeting","9/21/2021","Automated Essentials","CSI-0000129","Client Feedback","Product"
"CL001664","Hosco","1/27/2022","Automated Essentials","CSI-0000130","Client Feedback","Product"
"CL004386","INHAUS","3/22/2022","Giuliana Fontes","CSI-0000131","Client Feedback","Product"
"CL004996","Global Assist","2/27/2024","Giuliana Fontes","CSI-0000132","Client Feedback","Product"
"CL003814","Cheetah Conservation Fund","10/14/2022","Giuliana Fontes","CSI-0000134","Client Feedback","Product"
"CL003980","AdsFactory","10/24/2022","Joaquin Rocchietti","CSI-0000135","Client Feedback","Product"
"CL004740","Glim","8/22/2023","Karoll Cabrera","CSI-0000136","Client Feedback","Product"
"CL004567","Taxi Laser LLC","8/29/2023","Jose Pinto","CSI-0000137","Client Feedback","Product"
"CL001050","Uala","8/4/2021","Jose Pinto","CSI-0000138","Client Feedback","Product"
"CL004039","Yalutec","10/14/2021","Samuel Jimenez","CSI-0000139","Client Feedback","Product"
"CL002530","asap developers","2/23/2022","Alejandra Arroyo","CSI-0000140","Client Feedback","Product"
"CL004849","BrandLive","3/7/2022","Laura Del Gordo","CSI-0000141","Client Feedback","Product"
"CL005054","Defontana","5/18/2022","Joaquin Rocchietti","CSI-0000142","Client Feedback","Product"
"CL002942","EmTech","5/19/2022","Jose Pinto","CSI-0000143","Client Feedback","Product"
"CL004991","Agua Fria Corp","5/29/2024","Automated Essentials","CSI-0000145","Client Feedback","Product"
"CL004836","Milvago IT","6/6/2024","Jose Pinto","CSI-0000146","Client Feedback","Product"
"CL002475","SERVIAP USA LLC","11/10/2022","Jose Pinto","CSI-0000147","Client Feedback","Product"
"CL000010","Instaleap","10/15/2021","Jose Pinto","CSI-0000148","Client Feedback","Product"
"CL005322","Zubale Mexico","11/19/2024","Jose Pinto","CSI-0000149","Client Feedback","Product"
"CL005012","Novacomp - Frontera","2/16/2022","Joaquin Rocchietti","CSI-0000150","Client Feedback","Product"
"CL003764","CLOUD UP SOLUTIONS","10/13/2022","Karoll Cabrera","CSI-0000152","Client Feedback","Product"
"CL003834","CognosOnline Panama","11/10/2022","Giuliana Fontes","CSI-0000155","Client Feedback","Product"
"CL004121","Xpace learning","1/16/2023","Joaquin Rocchietti","CSI-0000157","Client Feedback","Product"
"CL004105","Dapta","1/24/2023","Joaquin Rocchietti","CSI-0000158","Client Feedback","Product"
"CL004721","Ay Hungry","10/30/2023","Karoll Cabrera","CSI-0000159","Client Feedback","Product"
"CL001141","QUILSOFT","9/22/2021","Joaquin Rocchietti","CSI-0000160","Client Feedback","Product"
"CL002624","Dynamo Global","10/5/2021","Alejandra Arroyo","CSI-0000161","Client Feedback","Product"
"CL004719","Opcion Yo","2/1/2022","Samuel Jimenez","CSI-0000165","Client Feedback","Product"
"CL004845","Foodology Inc","3/1/2022","Alejandra Arroyo","CSI-0000167","Client Feedback","Product"
"CL002188","CrearP LLC","3/23/2022","Automated Essentials","CSI-0000169","Client Feedback","Product"
"CL002472","KIMCHE","3/31/2022","Alejandra Arroyo","CSI-0000170","Client Feedback","Product"
"CL003994","Alliance Enterprise","3/31/2022","Karoll Cabrera","CSI-0000171","Client Feedback","Product"
"CL004674","Protegetuviaje.com","4/5/2022","Alejandra Arroyo","CSI-0000172","Client Feedback","Product"
"CL005127","Code Fabric","5/10/2022","Giuliana Fontes","CSI-0000173","Client Feedback","Product"
"CL005135","Insidea.com","12/26/2023","Karoll Cabrera","CSI-0000174","Client Feedback","Product"
"CL004938","Clara - New","1/18/2024","Joaquin Rocchietti","CSI-0000175","Client Feedback","Product"
"CL004764","DOCTORANYTIME SAS","1/18/2024","Automated Essentials","CSI-0000176","Client Feedback","Product"
"CL004937","SUMADI S.A.","3/12/2024","Giuliana Fontes","CSI-0000177","Client Feedback","Product"
"CL003540","IG Networks","12/26/2021","Joaquin Rocchietti","CSI-0000181","Client Feedback","Product"
"CL003461","Glosol","8/30/2022","Joaquin Rocchietti","CSI-0000182","Client Feedback","Product"
"CL003776","Tsoft Chile","10/31/2022","Joaquin Rocchietti","CSI-0000183","Client Feedback","Product"
"CL004515","EPIC IO Technologies","6/9/2023","Jose Pinto","CSI-0000185","Client Feedback","Product"
"CL004476","KEO World","10/4/2021","Joaquin Rocchietti","CSI-0000186","Client Feedback","Product"
"CL000474","Custom Surgical GmbH","11/9/2021","Karoll Cabrera","CSI-0000187","Client Feedback","Product"
"CL003785","Grupo Datco","1/28/2022","Joaquin Rocchietti","CSI-0000188","Client Feedback","Product"
"CL003190","Pócima Digital","2/4/2022","Joaquin Rocchietti","CSI-0000189","Client Feedback","Product"
"CL002932","Alegra CAN LP HQ","3/18/2022","Joaquin Rocchietti","CSI-0000191","Client Feedback","Product"
"CL005223","KIT Global","7/3/2024","Joaquin Rocchietti","CSI-0000192","Client Feedback","Product"
"CL004406","Dinterweb","7/29/2022","Alejandra Arroyo","CSI-0000195","Client Feedback","Product"
"CL004151","Partner in Publishing","1/25/2023","Giuliana Fontes","CSI-0000196","Client Feedback","Product"
"CL004305","Materias Primas Masu","5/11/2023","Karoll Cabrera","CSI-0000198","Client Feedback","Product"
"CL000805","Lilab","9/29/2021","Giuliana Fontes","CSI-0000199","Client Feedback","Product"
"CL000278","Cluvi","10/13/2021","Karoll Cabrera","CSI-0000200","Client Feedback","Product"
"CL001406","Quipu","12/14/2021","Giuliana Fontes","CSI-0000202","Client Feedback","Product"
"CL001424","Qaroni","12/16/2021","Karoll Cabrera","CSI-0000203","Client Feedback","Product"
"CL002295","Zumub (We're hiring!)","1/7/2022","Karoll Cabrera","CSI-0000204","Client Feedback","Product"
"CL001430","Escudero Services LLC","1/12/2022","Karoll Cabrera","CSI-0000205","Client Feedback","Product"
"CL002726","OLIVER","1/28/2022","Giuliana Fontes","CSI-0000206","Client Feedback","Product"
"CL003736","Termmed","2/4/2022","Joaquin Rocchietti","CSI-0000207","Client Feedback","Product"
"CL002326","Vimofy","3/25/2022","Automated Essentials","CSI-0000209","Client Feedback","Product"
"CL003799","Chazki","10/21/2021","Samuel Jimenez","CSI-0000210","Client Feedback","Product"
"CL002810","oetcapital.com","5/4/2022","Alejandra Arroyo","CSI-0000211","Client Feedback","Product"
"CL004751","MBCO TECNOLOGIAS","12/27/2023","Karoll Cabrera","CSI-0000212","Client Feedback","Product"
"CL005158","Novashore","7/24/2024","Joaquin Rocchietti","CSI-0000213","Client Feedback","Product"
"CL004223","Colsugar S.A.S","8/12/2022","Giuliana Fontes","CSI-0000216","Client Feedback","Product"
"CL003549","HireIn Cloud","9/14/2022","Automated Essentials","CSI-0000217","Client Feedback","Product"
"CL004554","Publicar - NLOCAL ONLINE SERVICES SL","4/14/2023","Joaquin Rocchietti","CSI-0000218","Client Feedback","Product"
"CL004380","itexon.com","5/22/2023","Karoll Cabrera","CSI-0000219","Client Feedback","Product"
"CL004498","Wireless DNA","6/7/2023","Karoll Cabrera","CSI-0000220","Client Feedback","Product"
"CL001966","Crack The Code 2","1/19/2022","Automated Essentials","CSI-0000221","Client Feedback","Product"
"CL001854","HICX","2/11/2022","Giuliana Fontes","CSI-0000222","Client Feedback","Product"
"CL002223","MoovMediaGroup HQ","2/16/2022","Karoll Cabrera","CSI-0000223","Client Feedback","Product"
"CL002557","e-voque","4/1/2022","Joaquin Rocchietti","CSI-0000224","Client Feedback","Product"
"CL002941","Telemundo Atlanta","5/23/2022","Giuliana Fontes","CSI-0000225","Client Feedback","Product"
"CL004778","placesociale.com","12/11/2023","Giuliana Fontes","CSI-0000226","Client Feedback","Product"
"CL005067","Nubiral Mexico","5/22/2024","Samuel Jimenez","CSI-0000227","Client Feedback","Product"
"CL005109","CodersLab","12/20/2023","Samuel Jimenez","CSI-0000237","Client Feedback","Customer Success"
"CL004803","Arkho","12/20/2022","Alejandra Arroyo","CSI-0000238","Client Feedback","Product"
"CL003605","Agencia Navarro","7/26/2022","Automated Essentials","CSI-0000243","Client Feedback","Product"
"CL005419","alpha scale talent","1/20/2025","Automated Essentials","CSI-0000244","Client Feedback","Compliance"
"CL002950","Websec","4/12/2022","Automated Essentials","CSI-0000250","Client Feedback","Product"
"CL005385","Auronix","3/31/2022","Laura Del Gordo","CSI-0001241","Client Feedback","Product"
"CL005390","Bolt Builders","12/26/2024","Giuliana Fontes","CSI-0001242","Client Feedback","Product"
"CL004220","Rapiboy Latam","3/8/2023","Alejandra Arroyo","CSI-0001244","Client Feedback","Customer Success"
"CL005360","Cuatroi","3/1/2022","Giuliana Fontes","CSI-0001246","Client Feedback","Compliance"
"CL000067","M923 Inc","10/15/2021","Automated Essentials","CSI-0001251","Client Feedback","Legal"
"CL005369","Easy Tarp & Restoration LLC","12/5/2024","Alejandra Arroyo","CSI-0001256","Client Feedback","Sales"
"CL001479","Ubank App","1/18/2022","Automated Essentials","CSI-0001257","Client Feedback","Tech"
"CL004812","Debtorcc","1/9/2024","Karoll Cabrera","CSI-0001259","Client Feedback","Product"
"CL005327","SERVICIOS CORPORATIVOS FTM","11/12/2024","Giuliana Fontes","CSI-0001260","Client Feedback","Product"
"CL005414","wild.","10/20/2022","Joaquin Rocchietti","CSI-0001261","Client Feedback","Customer Success"
"CL005412","Andes STR","2/28/2024","Automated Essentials","CSI-0001263","Client Feedback","Product"
"CL005388","Creai Panama","12/23/2024","Laura Del Gordo","CSI-0001264","Client Feedback","Product"
"CL005387","ecovis.cl","12/21/2024","Automated Essentials","CSI-0001265","Client Feedback","Customer Success"
"CL005345","StickerYou","10/15/2024","Joaquin Rocchietti","CSI-0001267","Client Feedback","Customer Success"
"CL005363","RP Criminal Defense","12/5/2024","Automated Essentials","CSI-0001268","Client Feedback","Customer Success"
"CL005395","beverlylaw.org","12/11/2024","Karoll Cabrera","CSI-0001270","Client Feedback","Operations B2B"
"CL005386","fenixblack.com","12/20/2024","Automated Essentials","CSI-0001271","Client Feedback","Tech"
"CL005325","Learnerchain","10/29/2024","Automated Essentials","CSI-0001273","Client Feedback","Product"
"CL005223","KIT Global","7/3/2024","Joaquin Rocchietti","CSI-0001274","Client Feedback","Financial Services"
"CL004898","mdvretailsolutions.com","11/2/2023","Automated Essentials","CSI-0001286","Client Feedback","Product"
"CL001510","Barracuda Advertising","1/17/2022","Automated Essentials","CSI-0001287","Client Feedback",""
"CL001510","Barracuda Advertising","1/17/2022","Automated Essentials","CSI-0001289","Client Feedback","Product"
"CL004358","IKTAM","1/30/2023","Automated Essentials","CSI-0001291","Client Feedback","Customer Success"
"CL004211","The Hire Talent","3/6/2023","Giuliana Fontes","CSI-0001293","Client Feedback","Customer Success"
"CL004642","Cobra Studio io","9/7/2023","Karoll Cabrera","CSI-0001295","Client Feedback","Customer Success"
"CL001996","Mobyl Engage","2/28/2022","Automated Essentials","CSI-0001301","Client Feedback","Legal"
"CL004783","Carmenta Labs","7/15/2022","Automated Essentials","CSI-0001305","Client Feedback","Product"
"CL005242","We Reach US","9/18/2024","Automated Essentials","CSI-0001307","Client Feedback","Product"
"CL004721","Ay Hungry","10/30/2023","Karoll Cabrera","CSI-0001309","Client Feedback","Customer Success"
"CL004467","Blue Express","6/28/2022","Laura Del Gordo","CSI-0001310","Client Feedback","Product"
"CL002437","MoTechnologies (WeareMO)","3/24/2022","Automated Essentials","CSI-0001314","Client Feedback","Product"
"CL004676","OneSeven Tech","10/13/2023","Automated Essentials","CSI-0001317","Client Feedback","Product"
"CL005259","innovaciones360.cl","9/26/2024","Automated Essentials","CSI-0001328","Client Feedback","Product"
"CL004759","Leasy Peru","11/21/2023","Automated Essentials","CSI-0001330","Client Feedback","Product"
"CL005392","Bitual","12/19/2024","Automated Essentials","CSI-0001332","Client Feedback","Operations B2B"
"CL005391","Cero Ai","9/28/2023","Automated Essentials","CSI-0001333","Client Feedback","Legal"
"CL005408","NPHub","4/23/2024","Joaquin Rocchietti","CSI-0001334","Client Feedback","Sales"
"CL005286","onerpm.com","9/16/2024","Karoll Cabrera","CSI-0001335","Client Feedback","Operations B2B"
"CL005250","Luupa Technologies","3/6/2024","Karoll Cabrera","CSI-0001336","Client Feedback","Product"
"CL005404","mygoldenstorage.com","1/4/2025","Automated Essentials","CSI-0001337","Client Feedback","Product"
"CL004948","Meet My Assistant","3/4/2024","Alejandra Arroyo","CSI-0001340","Client Feedback","Product"
"CL004986","General Logistics","3/13/2024","Lucas Arenas","CSI-0001347","Client Feedback","EOR"
"CL002672","HarryAndBillyBrick Productions","4/4/2022","Automated Essentials","CSI-0001353","Client Feedback","Product"
"CL004674","Protegetuviaje.com","4/5/2022","Alejandra Arroyo","CSI-0001357","Client Feedback","Product"
"CL004674","Protegetuviaje.com","4/5/2022","Alejandra Arroyo","CSI-0001358","Client Feedback","Product"
"CL004846","Hacku","4/6/2022","Automated Essentials","CSI-0001360","Client Feedback","Product"
"CL004836","Milvago IT","6/6/2024","Jose Pinto","CSI-0001376","Client Feedback","Product"
"CL002942","EmTech","5/19/2022","Jose Pinto","CSI-0001377","Client Feedback","Product"
"CL002942","EmTech","5/19/2022","Jose Pinto","CSI-0001378","Client Feedback","Product"
"CL004836","Milvago IT","6/6/2024","Jose Pinto","CSI-0001379","Client Feedback","Product"
"CL003276","SI SEÑOR AGENCIA","7/18/2022","Karoll Cabrera","CSI-0001385","Client Feedback","Finance"
"CL005385","Auronix","3/31/2022","Laura Del Gordo","CSI-0001386","Client Feedback","Product"
"CL005385","Auronix","3/31/2022","Laura Del Gordo","CSI-0001387","Client Feedback","Product"
"CL005182","Quiroga Law Office, PLLC","1/26/2024","Laura Del Gordo","CSI-0001510","Client Feedback","Financial Services"
"CL001628","Escuela de la Memoria","5/6/2022","Automated Essentials","CSI-0001512","Client Feedback","Product"
"CL005102","Blinka","5/27/2024","Automated Essentials","CSI-0001516","Client Feedback","Product"
"CL005308","LA CEIBA","10/28/2024","Karoll Cabrera","CSI-0001518","Client Feedback","Product"
"CL005308","LA CEIBA","10/28/2024","Karoll Cabrera","CSI-0001519","Client Feedback","Product"
"CL004757","Poder Justo","4/1/2022","Samuel Jimenez","CSI-0001521","Client Feedback","Product"
"CL002747","Eidos","9/18/2022","Jose Pinto","CSI-0001523","Client Feedback","Product"
"CL005194","tarjetasperuanas.com.pe","2/1/2024","Alejandra Arroyo","CSI-0001527","Client Feedback","Product"
"CL005362","Simplest Guru","8/29/2024","Alejandra Arroyo","CSI-0001548","Client Feedback","Customer Success"
"CL004921","ACL Tecnología Chile - ACL SPA / Aplicaciones Computacionales SPA - ACL SPA","8/31/2022","Alejandra Arroyo","CSI-0001554","Client Feedback","Operations B2B"
"CL004723","Ergo Bioscience","11/14/2023","Automated Essentials","CSI-0001552","Client Feedback","Product"
"CL003952","Millennials Virtual Services","12/6/2022","Alejandra Arroyo","CSI-0001555","Client Feedback","Product"
"CL005142","CertiProf","8/15/2023","Joaquin Rocchietti","CSI-0001556","Client Feedback","Product"
"CL002703","cashea.app","4/12/2022","Joaquin Rocchietti","CSI-0001558","Client Feedback","Product"
"CL004523","Maria Capital","8/8/2023","Automated Essentials","CSI-0001561","Client Feedback","Financial Services"
"CL005435","Cometa","1/4/2024","Automated Essentials","CSI-0001562","Client Feedback","Product"
"CL003736","Termmed","2/4/2022","Joaquin Rocchietti","CSI-0001583","Client Feedback","Customer Success"
"CL004277","JMD Consultants PA","3/27/2023","Joaquin Rocchietti","CSI-0001586","Client Feedback","Product"
"CL004877","https://www.minka.io/","12/23/2021","Karoll Cabrera","CSI-0001678","Client Feedback","Product"
"CL000127","RioGrande eCommerce / AlClick","10/14/2021","Automated Essentials","CSI-0001680","Client Feedback","Product"
"CL002475","SERVIAP USA LLC","11/10/2022","Jose Pinto","CSI-0001686","Client Feedback","Operations B2B"
"CL005309","EF VENTURE","10/31/2024","Automated Essentials","CSI-0001688","Client Feedback","Operations B2B"
"CL000455","Güeno","9/13/2022","Karoll Cabrera","CSI-0001689","Client Feedback","Product"
"CL005413","LinkFactor","7/26/2022","Automated Essentials","CSI-0001690","Client Feedback","Compliance"
"CL005432","prssence.com","1/28/2025","Automated Essentials","CSI-0001691","Client Feedback","Tech"
"CL005440","swiftcx.com","2/3/2025","Automated Essentials","CSI-0001709","Client Feedback","Sales"
"CL003290","JetSMART Airlines","7/5/2022","Automated Essentials","CSI-0001711","Client Feedback","Finance"
"CL003273","rhome","7/19/2022","Karoll Cabrera","CSI-0001717","Client Feedback","Customer Success"
"CL003348","Crediviva, SA","3/21/2022","Automated Essentials","CSI-0001721","Client Feedback","Customer Success"
"CL003436","Polynomial Protocol","8/23/2022","Giuliana Fontes","CSI-0001723","Client Feedback","Customer Success"
"CL004345","Tonder","8/30/2022","Joaquin Rocchietti","CSI-0001725","Client Feedback","Customer Success"
"CL003549","HireIn Cloud","9/14/2022","Automated Essentials","CSI-0001728","Client Feedback","Customer Success"
"CL003771","The Kenyon Law Firm","9/16/2022","Automated Essentials","CSI-0001730","Client Feedback","Customer Success"
"CL003750","TANGIBLE","10/13/2022","Automated Essentials","CSI-0001733","Client Feedback","Customer Success"
"CL003780","Henry","10/31/2022","Giuliana Fontes","CSI-0001735","Client Feedback","Customer Success"
"CL004831","The Victory Games","1/26/2023","Karoll Cabrera","CSI-0001737","Client Feedback","Customer Success"
"CL004554","Publicar - NLOCAL ONLINE SERVICES SL","4/14/2023","Joaquin Rocchietti","CSI-0001741","Client Feedback","Customer Success"
"CL003778","Tiny Rockets LLC","5/9/2023","Karoll Cabrera","CSI-0001743","Client Feedback","Customer Success"
"CL004380","itexon.com","5/22/2023","Karoll Cabrera","CSI-0001747","Client Feedback","Customer Success"
"CL004498","Wireless DNA","6/7/2023","Karoll Cabrera","CSI-0001749","Client Feedback","Customer Success"
"CL004517","workandstudy.travel","8/2/2023","Joaquin Rocchietti","CSI-0001751","Client Feedback","Customer Success"
"CL004537","Sharper Process","8/9/2023","Karoll Cabrera","CSI-0001754","Client Feedback","Customer Success"
"CL004553","plexicus.com","8/22/2023","Automated Essentials","CSI-0001756","Client Feedback","Customer Success"
"CL004730","LaTeam Partners","10/31/2023","Giuliana Fontes","CSI-0001760","Client Feedback","Customer Success"
"CL001001","The Wise Seeker","10/8/2021","Karoll Cabrera","CSI-0001764","Client Feedback","Customer Success"
"CL000086","Think Place","10/14/2021","Giuliana Fontes","CSI-0001768","Client Feedback","Customer Success"
"CL000067","M923 Inc","10/15/2021","Automated Essentials","CSI-0001770","Client Feedback","Customer Success"
"CL004958","BullMetrix","10/28/2021","Karoll Cabrera","CSI-0001774","Client Feedback","Customer Success"
"CL000117","Skydropx","11/8/2021","Karoll Cabrera","CSI-0001776","Client Feedback","Customer Success"
"CL002793","OfertaSimple","4/28/2022","Giuliana Fontes","CSI-0001779","Client Feedback","Product"
"CL005037","RDIT","8/4/2022","Karoll Cabrera","CSI-0001782","Client Feedback","Product"
"CL004619","Centurion Restaurant Group","8/23/2022","Lucas Arenas","CSI-0001807","Client Feedback","EOR"
"CL004188","Gesab SA","10/15/2022","Lucas Arenas","CSI-0001811","Client Feedback","Product"
"CL004522","NP Digital","8/2/2023","Karoll Cabrera","CSI-0001812","Client Feedback","Product"
"CL004883","Proptech Latam Summit","3/10/2022","Karoll Cabrera","CSI-0001840","Client Feedback","Product"
"CL004845","Foodology Inc","3/1/2022","Alejandra Arroyo","CSI-0001851","Client Feedback","Financial Services"
"CL004429","Emprende Hoy LLC","6/15/2023","Laura Del Gordo","CSI-0001855","Client Feedback","Legal"
"CL001141","QUILSOFT","9/22/2021","Joaquin Rocchietti","CSI-0001859","Client Feedback","Legal"
"CL003961","Roads Consulting Group","11/9/2022","Giuliana Fontes","CSI-0001861","Client Feedback","Financial Services"
"CL003781","AgeWorld","1/27/2022","Automated Essentials","CSI-0001863","Client Feedback","Product"
"CL004105","Dapta","1/24/2023","Joaquin Rocchietti","CSI-0001865","Client Feedback","Operations B2B"
"CL001915","Seabery","2/23/2022","Automated Essentials","CSI-0001868","Client Feedback","Product"
"CL002531","Probance","2/18/2022","Lucas Arenas","CSI-0001878","Client Feedback","Product"
"CL005209","Cableteque","6/4/2024","Lucas Arenas","CSI-0001882","Client Feedback","Product"
"CL005379","ESMTCX","1/17/2022","Giuliana Fontes","CSI-0001888","Client Feedback","Tech"
"CL005440","swiftcx.com","2/3/2025","Automated Essentials","CSI-0001889","Client Feedback","Product"
"CL005418","ZURU Latam","5/20/2022","Automated Essentials","CSI-0001891","Client Feedback","Product"
"CL005445","handandstone.com","2/4/2025","Automated Essentials","CSI-0001893","Client Feedback","Product"
"CL004986","General Logistics","3/13/2024","Lucas Arenas","CSI-0001894","Client Feedback","Product"
"CL000620","Axenya","10/13/2021","Samuel Jimenez","CSI-0001901","Client Feedback","Financial Services"
"CL002223","MoovMediaGroup HQ","2/16/2022","Karoll Cabrera","CSI-0001903","Client Feedback","Product"
"CL005271","Bullmetrix Mexico","10/3/2024","Automated Essentials","CSI-0001999","Client Feedback","Product"
"CL005164","UseField","7/25/2024","Automated Essentials","CSI-0002001","Client Feedback","Product"
"CL003994","Alliance Enterprise","3/31/2022","Karoll Cabrera","CSI-0002004","Client Feedback","Product"
"CL002624","Dynamo Global","10/5/2021","Alejandra Arroyo","CSI-0002006","Client Feedback","Product"
"CL001197","Huli Labs","9/15/2021","Automated Essentials","CSI-0002011","Client Feedback","Product"
"CL004937","SUMADI S.A.","3/12/2024","Giuliana Fontes","CSI-0002018","Client Feedback","Product"
"CL003834","CognosOnline Panama","11/10/2022","Giuliana Fontes","CSI-0002021","Client Feedback","Product"
"CL003781","AgeWorld","1/27/2022","Automated Essentials","CSI-0002023","Client Feedback","Customer Success"
"CL003060","Edutech de Centroamérica","1/11/2022","Giuliana Fontes","CSI-0002027","Client Feedback","Product"
"CL002252","Kromin","3/8/2022","Automated Essentials","CSI-0002029","Client Feedback","Product"
"CL004850","codigo.ai","1/18/2024","Automated Essentials","CSI-0002031","Client Feedback","Product"
"CL003458","Spot²","4/29/2022","Automated Essentials","CSI-0002033","Client Feedback","Product"
"CL005202","nexxdiotc","4/4/2022","Karoll Cabrera","CSI-0002035","Client Feedback","Product"
"CL001605","Pirani","1/6/2022","Automated Essentials","CSI-0002037","Client Feedback","Product"
"CL003426","cloudpiles.com","7/29/2022","Automated Essentials","CSI-0002039","Client Feedback","Product"
"CL000901","World Telehealth Initiative","1/26/2022","Automated Essentials","CSI-0002041","Client Feedback","Product"
"CL005304","techloomglobal.com","9/6/2024","Automated Essentials","CSI-0002044","Client Feedback","Product"
"CL004700","Dentaltix","12/14/2022","Automated Essentials","CSI-0002046","Client Feedback","Product"
"CL000146","Satrack In de Colombia Servisat","10/14/2021","Automated Essentials","CSI-0002048","Client Feedback","Product"
"CL004567","Taxi Laser LLC","8/29/2023","Jose Pinto","CSI-0002050","Client Feedback","Customer Success"
"CL005453","emqu.net","2/7/2025","Joaquin Rocchietti","CSI-0002055","Client Feedback","Product"
"CL005451","ioasys","8/2/2022","Automated Essentials","CSI-0002057","Client Feedback","Compliance"
"CL005450","Foccuz","4/1/2024","Giuliana Fontes","CSI-0002058","Client Feedback","Product"
"CL005413","LinkFactor","7/26/2022","Automated Essentials","CSI-0002059","Client Feedback","Tech"
"CL002320","BW Miami","3/7/2022","Automated Essentials","CSI-0002062","Client Feedback","Customer Success"
"CL002522","Migrante","4/22/2022","Automated Essentials","CSI-0002064","Client Feedback","Product"
"CL005212","Chiper OS Limited","8/28/2024","Alejandra Arroyo","CSI-0002069","Client Feedback","Product"
"CL001277","B2chat","12/28/2021","Automated Essentials","CSI-0002071","Client Feedback","Product"
"CL003781","AgeWorld","1/27/2022","Automated Essentials","CSI-0002073","Client Feedback","Product"
"CL004720","seek Global","7/26/2023","Joaquin Rocchietti","CSI-0002076","Client Feedback","Product"
"CL002213","XMS - Gold Microsoft Partner","3/17/2022","Giuliana Fontes","CSI-0002080","Client Feedback","Product"
"CL001996","Mobyl Engage","2/28/2022","Automated Essentials","CSI-0002082","Client Feedback","Product"
"CL002920","Alternativas Inteligentes S.A.","6/1/2022","Automated Essentials","CSI-0002086","Client Feedback","Product"
"CL005350","Buzz CR","10/30/2024","Joaquin Rocchietti","CSI-0002088","Client Feedback","Product"
"CL001527","Umbrage.","10/5/2021","Giuliana Fontes","CSI-0002090","Client Feedback","Product"
"CL001756","Nimacloud","1/12/2022","Alejandra Arroyo","CSI-0002092","Client Feedback","Product"
"CL003334","Waste 2 Worth","7/5/2022","Automated Essentials","CSI-0002094","Client Feedback","Product"
"CL002003","Hosteltáctil - El TPV de la hostelería","5/30/2022","Automated Essentials","CSI-0002106","Client Feedback","Product"
"CL005346","NOVASEC","10/29/2024","Giuliana Fontes","CSI-0002108","Client Feedback","Product"
"CL000004","Truora","10/14/2021","Jose Pinto","CSI-0002110","Client Feedback","Financial Services"
